"original_order","entered_by","fishery_id","umbrella_organization","number_of_species","target_species","complete_name","fb_k_1_yr","fbk_category","fb_loo_cm","fb_habitat","fb_migration","fb_price","fb_price_quality","fb_environment","fb_trophic","fish_type","habitat","habitat_2","fished_habitat","diet","species_growth","adult_movement","discrete_movement","migratory","forms_aggregations","consistent_spawning_location","a_in_fishery","msc_certification","stock_assessment","recorded_fishery_closure","year","spawning_season","larval_dispersal_potential","known_spatial_structure","host_country","population","population_growth_rate","gdp_2009_us","gdp_from_fishing_us","a_of_gdp_from_fishing","fishery_subsidies_prominent","subsidy_as_a__of_landed_value","poverty_index","human_development_index","polity","institutional_stability","rule_of_law","contract_enforcement_rank","corruption","catch_shares","catch_share_types","itq","ivq","ieq","iq","turf","co_op","open_access","limited_entry","tac","effort_limit","trip_limit","size_limit","season","gear","mpa","sex","species_value","unit_of_value","composite_price","gear_type","gear_type_short","use_of_catch","short_catch_use","species_value_fluctuations","geographic_range_of_fishing_acti","range_spatially_defined","short_range","home_port","processed","cooperative_present","nested_fishery","programs_for_co_op_formation","marketing","profit_sharing","cooperative_administration","co_harvest","cooperative_tac","cooperative_gear_restrictions","cooperative_size_limit","gear_sharing","direct_enforcement","codified_penalties","temporal_no_take","spatial_no_take","restocking","habitat_restoration","gear_shift","by_catch_avoidance","research_support","information_sharing","coop_behaviors","co_op_form_date","vessels_co_op","short_vessels","participants_co_op","short_participants","landings_co_op","landing_units","short_landings","fishing_season_co_op","ecosystem_engineering","reporting","spatial","quota","temporal","gear0","gov_t_ambivalent","gov_t_undermining","gov_t_supportive","degree_of_co_management","transfer_rights","services_provided","legal_protection_standing","enforcement","support_of_voluntary_regs","financial_services","information_support","conditions_for_cooperative_exist","sunset_clause","oecd","oneper"
NA,NA,NA,"","","Unclear exact fishing area","","","Unal 2006","Unal 2010","http://www.fishbase.org/summary/SpeciesSummary.php?id=1756","http://www.fishbase.org/summary/SpeciesSummary.php?id=1756","http://www.fishbase.org/summary/SpeciesSummary.php?id=1756","rocky, sandy, gravel bororm, down to 250 m. http://www.fishbase.org/summary/SpeciesSummary.php?id=1756","","http://www.fishbase.org/summary/SpeciesSummary.php?id=1756","Tm=3, K=.144 http://www.fishbase.org/summary/SpeciesSummary.php?id=1756, Pajuelo & Lorenzo 1996","Palumbi et al. 2009. No definitive source found","Afanso, et al","Devries 2006","Devries 2006","","","","","","","Devries 2006","Devries 2006","Devries 2006 (dissertation)",NA,"","","","ftp://ftp.fao.org/fi/document/fcp/en/FI_CP_TR.pdf","ftp://ftp.fao.org/fi/document/fcp/en/FI_CP_TR.pdf","","","","","","","",NA,"","","","Unal 2009 Pers. Comm.","Unal 2009 Pers. Comm.","Unal 2009 Pers. Comm.","Unal 2009 Pers. Comm.","Unal 2009 Pers. Comm.","Unal 2009 Pers. Comm.","www.oecd.org/dataoecd/9/29/34431494.pdf","www.oecd.org/dataoecd/9/29/34431494.pdf","Hodges & Ovando 2009, Unal 2009 pers. Com. ","Hodges & Ovando 2009, Unal 2009 pers. Com. ","Hodges & Ovando 2009, Unal 2009 pers. Com. ","Hodges & Ovando 2009, Unal 2009 pers. Com. ","Hodges & Ovando 2009, Unal 2009 pers. Com. ","Hodges & Ovando 2009, Unal 2009 pers. Com. ","Hodges & Ovando 2009, Unal 2009 pers. Com. ","Hodges & Ovando 2009, Unal 2009 pers. Com. ","http://www.fishbase.org/summary/SpeciesSummary.php?id=1327. Unclear what actual value is","","Unal 2010","Unal 2010","","Unal 2006","Unal 2006","Unal 2010","http://www.fishbase.org/summary/SpeciesSummary.php?id=1328","","Unal 2011","","","Unal et al. 2010","Unal et al. 2009, Unal 2011","","Unal 2006","Unal 2010","Hodges & Ovando 2009, Unal 2009 pers comm.","","","","Unal et al. 2010","","Unal personal communication","Unal et al. 2009","","","","","","","","Unal et al. 2009","",NA,"","Unal 2006","","Unal 2006","","","","","","","","","Unal 2006","","","","","","","","Unal et al. 2010",NA,"","Hodges & Ovando 2009, Unal 2009 pers comm","","Unal personal communication","","Unal personal communication","","","","","Unal et al. 2009. Cooperatives have right to operate port, but don't exclude non-coop from using",""
NA,NA,NA,"","","","","","Primarily georges bank cod and haddock, but a number of other groundfish are caught as well. Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009","","","","http://fishbase.org/Summary/SpeciesSummary.php?ID=69&AT=cod","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009","http://fishbase.org/Ecology/FishEcologySummary.php?StockCode=79&GenusName=Gadus&SpeciesName=morhua","Tm<2 (1.9 for males, 1.7 females, in georges bank. Fahay et al. 1999 www.nefsc.noaa.gov/publications/tm/tm124/tm124.pdf","","Fahay et al. 1999 www.nefsc.noaa.gov/publications/tm/tm124/tm124.pdf","Fahay et al. 1999 www.nefsc.noaa.gov/publications/tm/tm124/tm124.pdf","Fahay et al. 1999 www.nefsc.noaa.gov/publications/tm/tm124/tm124.pdf","","","","","","","Fahay et al. 1999 www.nefsc.noaa.gov/publications/tm/tm124/tm124.pdf","Fahay et al. 1999 www.nefsc.noaa.gov/publications/tm/tm124/tm124.pdf","Fahay et al. 1999 www.nefsc.noaa.gov/publications/tm/tm124/tm124.pdf",NA,"http://www.census.gov/","","","","ftp://ftp.fao.org/FI/DOCUMENT/fcp/en/FI_CP_US.pdf","http://lenfestocean.org/Subsidies%20RSR%20Final.pdf","28.14% ""Good"" subsidies
http://www.seaaroundus.org/Subsidy/default.aspx?GeoEntityID=221
","","","","","",NA,"","","Canadian and US Northern Pacific Ocean and Bering Sea Halibut Fishery","","","Only tradable within the cooperative. www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf","","","www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf","","","www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf","www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf","Brazer 2009, personal communication","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009
","non-cooperative fleet has a season. Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009
","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009
","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009
","","http://fishbase.org/Summary/SpeciesSummary.php?ID=69&AT=cod","","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009
","","","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009
","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009
","","","","Leal et al. 2008","","","No mention in any operating documents of collective selling, reference to individual profits","Brazer 2009 personal communication","Leal et al. 2008","GBCHS 2009 operating document","","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009; Leal et al. 2008
","","GBCHS 2009 operating document","","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009
","GBCHS 2009 operating document","GBCHS 2009 operating document","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009
","","","","","","","Leal et al.  2008","Brazer 2009 personal communication","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009
",NA,"","www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf","as of 2008. www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf","www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf","In 2008. Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009
","","","","GBCHS 2009 operating document","http://www.nefsc.noaa.gov/sos/spsyn/pg/cod/#gb","","","","Fishing season exists for whole fleet, and includes restrictions that the sector is not subject to.
Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009
","Provided exclusive access to some of the no-fishing areas. Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009, Leal et al. 2008, www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf
","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009, Leal et al. 2008, www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf
","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009, Leal et al. 2008, www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf
","","","","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009, Leal et al. 2008, www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf
",NA,"GBCHS 2009 operating document","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009, Leal et al. 2008, www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf
","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009, Leal et al. 2008, www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf
","","","","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009, Leal et al. 2008, www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf
","Sector must complete NEPA EA, submit management plan,etc, in order to have plan approved. Brazer 2009 personal communication ","","","Georges Bank Cod Fixed Gear Sector: An Environmental
Assessment 2009, Leal et al. 2008, www.nmfs.noaa.gov/sfa/domes_fish/catchshare/.../gbcod_hooksector.pdf
",""
NA,NA,NA,"","","Exact area unclear. See Baticados et al. 1998","","","Baticados et al. 1998","See Tumanda et al. 1997","","","","Tumanda et al. 1997","Tumanda et al. 1997","Tumanda et al. 1997","K=.204, Tumada et al. 1997","Tumanda et al. 1997","","Tumanda et al. 1997","population evenly spread out, no adult movement, spawning from all beds","","","","","","","Tumanda et al 1997","","Tumanda et al 1997",NA,"","","","http://www.fao.org/fishery/countrysector/FI-CP_PH/en","","","","","","","","",NA,"","","","Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","Alcala & Russ 2006","","Alcala & Russ 2006","Alcala & Russ 2006","Alcala & Russ 2006","Bans on dynamite and cyanide fishing. Baticados 2004","Baticados et al. 1998 - Conservation efforts to preserve mangroves, key habitat for brown mussel","Alcala & Russ 2006","Could email Liana Talaue-McManus for info","","Baticados et al. 1998","","","Coast surrounding village of Dulangan, Pilar Philippines. Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","","","","","","Baticados 2004","","","","","Baticados 2004","","","","","","","Baticados 2004","","","","","","","","","",NA,"","Baticados 2004","","Baticados 2004","","","","","","","","","Baticados 2004, as of 1998","","Baticados 2004","Baticados 2004","Baticados 2004","Baticados 2004","Baticados 2004","Baticados 2004","",NA,"","Baticados 2004","","","","Baticados 2004","Baticados 2004","","","","Baticados 2004",""
NA,NA,NA,"","","Exact area unclear. See Baticados et al. 1998","","","Baticados et al. 1998","Baticados et al. 1998","","","","http://fishbase.org/Summary/SpeciesSummary.php?ID=4611","http://fishbase.org/Summary/SpeciesSummary.php?ID=4611","http://fishbase.org/Summary/SpeciesSummary.php?ID=4611","http://www.fishbase.org/summary/speciessummary.php?id=4611","","http://fishbase.org/Summary/SpeciesSummary.php?ID=4611","http://fishbase.org/Summary/SpeciesSummary.php?ID=4611","http://fishbase.org/Summary/SpeciesSummary.php?ID=4611","","","","","","","","","",NA,"","","","http://www.fao.org/fishery/countrysector/FI-CP_PH/en","","","","","","","","",NA,"","","","Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","Baticados et al. 1998","Alcala & Russ 2006","","Alcala & Russ 2006","Alcala & Russ 2006","Alcala & Russ 2006","Bans on dynamite and cyanide fishing. Baticados 2005","Baticados et al. 1998 - Conservation efforts to preserve mangroves, key habitat for brown mussel","Alcala & Russ 2007","http://fishbase.org/Summary/SpeciesSummary.php?ID=4611","","Fish corral, Baticados et al. 1998","","","Coast surrounding village of Dulangan, Pilar Philippines. Baticados et al. 1999","Baticados et al. 1998","Baticados et al. 1998","","","","","","Baticados 2004","","","","","Baticados 2004","","","","","","","Baticados 2004","","","","","","","","","",NA,"","Baticados 2004","","Baticados 2004","","","","","","","","","Baticados 2004, as of 1999","","Baticados 2004","Baticados 2004","Baticados 2004","Baticados 2004","Baticados 2004","Baticados 2004","",NA,"","Baticados 2004","","","","Baticados 2004","Baticados 2004","","","","Baticados 2004",""
NA,NA,NA,"","","","","","","","","","","FAO catalogue of shrimp and prawns 1980. http://www.fao.org/fi/oldsite/eims_search/advanced_s_result.asp?JOB_NO=AC477","Eggert & Ulmestrand 2008; FAO catalogue of shrimp and prawns 1980. http://www.fao.org/fi/oldsite/eims_search/advanced_s_result.asp?JOB_NO=AC477","Mamie 2008. www.unuftp.is/static/fellows/document/josephus08prf.pdf","tm=3. Mamie 2008. www.unuftp.is/static/fellows/document/josephus08prf.pdf","Estimated from Palumbi 2009","it has a vertical migration within its home range","","Garcia 2007","","","","","","","Garcia 2007","Pedersen et al 2003","Mamie 2008. www.unuftp.is/static/fellows/document/josephus08prf.pdf",NA,"","","","","2004?
Just under .1%
https://webgate.ec.europa.eu/fpfis/cms/farnet/sites/default/files/documents/Axis_4_Sweden.pdf
","","","","","","","",NA,"","","","","","","","Eggert & Ulmestrand 2008. Group of 6 fishes given exclusive access to fishing in the Fjord for shrimp","","","Eggert & Ulmestrand 2008. Group of 6 fishes given exclusive access to fishing in the Fjord for shrimp","","Eggert & Ulmestrand 2008. Group of 6 fishes given exclusive access to fishing in the Fjord for shrimp","","","","Eggert & Ulmestrand 2008","Eggert & Ulmestrand 2008","","Eggert & Ulmestrand 2008. As of 2006","Unclear what units. Assuming either U.S. Dollar or sweedish kronor","Trawl mostly occurs along bottom. Eggert & Ulmerstrand 2008","Eggert & Ulmestrand 2008","","","Eggert & Ulmestrand","","Small sized shrimp are processed, large are not. Eggert & Ulmerstrand 2008","","","","","Eggert & Ulmestrand 2008","Eggert & Ulmestrand 2008","Instituted methods for trading days at sea between members.Eggert & Ulmestrand 2008","Eggert 2011 Pers. Comm.","Eggert 2011 Pers. Comm.","Eggert & Ulmestrand 2008","Eggert 2011 Pers. Comm.","Eggert 2011 Pers. Comm.","Eggert 2011 Pers. Comm.","Eggert & Ulmestrand 2008","Eggert 2011 Pers. Comm.","Eggert 2011 Pers. Comm.","","","Eggert 2011 Pers. Comm.","Eggert 2011 Pers. Comm.","Eggert 2011 Pers. Comm.","Eggert 2011 Pers. Comm.","Eggert 2011 Pers. Comm.","","Instituted methods for trading days at sea between members","Eggert 2011 Pers. Comm.",NA,"","Eggert & Ulmestrand","Eggert & Ulmestrand","","As of 2006. Eggert & Ulmestrand 2008","","","","","As of 2006. Eggert & Ulmestrand 2008","","Eggert & Ulmestrand","","","Eggert & Ulmestrand 2008","","","","","","Eggert & Ulmestrand 2008",NA,"Eggert & Ulmestrand 2008","","Eggert & Ulmestrand 2008","Eggert & Ulmestrand 2008","Eggert & Ulmestrand 2008","","","Eggert & Ulmestrand 2008. Conditions appeat to have applied up until 2009, unclear what happened afterwards","Eggert & Ulmestrand 2008","","Eggert & Ulmestrand 2008",""
NA,NA,NA,"","Amarasinghe et al. 1997, Jayawardane & Perera 2003. 2002","","","Amarasinghe et al. 1997;Jarawardane & Perera 2003","Jayawardane & Perera 2003","Amarasinghe et al. 1997;Jarawardane & Perera 2003","Amarasinghe et al. 1997;Jarawardane & Perera 2003","Amarasinghe et al. 1997;Jarawardane & Perera 2003","","http://www.fao.org/fishery/culturedspecies/Penaeus_indicus/en#tcN90078","Jayawardane & Perera 2003","http://www.biosearch.in/publicOrganismPage.php?id=123432","Sanders et al. 2000, FAO document. http://www.fao.org/DOCREP/005/X7777E/X7777E00.HTM","","Jayawardane & Perera 2003","","","Jayawardane & Perera 2003; spawn out to sea, outside of estuary/lagoon where fishery occurs","","Sanders et al. 2000, FAO document. http://www.fao.org/DOCREP/005/X7777E/X7777E00.HTM","","","","Jayawardane et al (2002)","http://www.fao.org/fishery/culturedspecies/Penaeus_indicus/en#tcN90078","",NA,"","","","","2006
http://www.adb.org/Documents/Reports/Tsunami/sri-lanka-annex3.pdf
","","","","","","","",NA,"","","","","","","","Jayawardane & Perera 2003; Amarasinghe et al. 1997","","Jayawardane & Perera 2003","Jayawardane & Perera 2003","","","","","Catch data shows year round fishing. Jayawarden & Perera 2003","","","","Sanders et al. 2000, FAO document. http://www.fao.org/DOCREP/005/X7777E/X7777E00.HTM","Sri Lankan rupees","Jayawardane & Perera 2003","","Shrimp aggregations coincide with rainy season, making them much easier to catch. Jayawardane & Perera 2003","Jayawardane & Perera 2003","Jayawardane & Perera 2003","Jayawardane & Perera 2003","","","Jayawardane & Perera 2003","","","","Catch data shows year round fishing. Jayawarden & Perera 2003","Catch data shows year round fishing. Jayawarden & Perera 2003","","Catch data shows year round fishing. Jayawarden & Perera 2003","Catch data shows year round fishing. Jayawarden & Perera 2003","","","","Reference made to self ownership of nets in Jayawardane & Perera 2003","","","Amarasinghe et al. 1997","","","","","","","","","Jayawardane & Perera 2003",NA,"","Jayawardane & Perera 2003","","Jayawardane & Perera 2003","Jayawardane & Perera 2003, as of 1999","","","","","Jayawardane & Perera 2003, as of 1999","","","Jayawardane & Perera 2003","","Jayawardane & Perera 2003","","","Amarasinghe et al. 1997","","","Amarasinghe et al. 1997, Jayawardane & Perera 2003",NA,"","Amarasinghe et al. 1997, Jayawardane & Perera 2003","Amarasinghe et al. 1997, Jayawardane & Perera 2003","Amarasinghe et al. 1997, Jayawardane & Perera 2003","Amarasinghe et al. 1997, Jayawardane & Perera 2003","Amarasinghe & De Silva 1999","","","","","Jayawardane & Perera 2003",""
NA,NA,NA,"","","","","","","","","","","http://www.afsc.noaa.gov/race/behavioral/pollock_fbe.htm","long line fishing over the grounds, uchida & watanobe 2008","3-5 years to maturity. FAO Species Catalogue No. 125 Vol 10","3-5 years to maturity. FAO Species Catalogue No. 125 Vol 10","Bailey et al. 1999. Unclear what actual home range is, but seems to be on this scale","Bailey et al. 1999","Barbeaux 2005","Uchida & Watanobe 2008","Uchida & Watanobe 2008","","Uchida & Watanobe 2008","Uchida & Watanobe 2008","","Uchida & Watanobe 2008","FAO Species Catalogue No. 125 Vol 10","Bailey et al. 1999, Yoklavich & Bailey 1990","Bailey et al. 1999",NA,"","","","2007
Total Landings Value
http://www.mansfieldfdn.org/programs/program_pdfs/ppt_clarkenglishversion.pdf
","http://www.mansfieldfdn.org/programs/program_pdfs/ppt_clarkenglishversion.pdf","","","","","","","",NA,"","","","","","","","Uchida & Wilen 2004","Unclear if TAC is specifically allocated to co-op","","Uchida & Wilen 2004","Uchida & Watanobe 2008, though TAC is region wide, unclear if Nishi has allocated portion of this TAC","Uchida & Watanobe 2008","","Funamoto 2011","Uchida & Wilen 2002","","","","http://fishbase.org/Summary/SpeciesSummary.php?ID=318&AT=walleye+pollock","","Uchida & Watanobe 2008","Uchida & Watanobe 2008","Uchida & Watanobe 2008","Uchida & Watanobe 2008","Uchida & Watanobe 2008","Uchida & Watanobe 2008","Uchida & Watanobe 2008","","Uchida & Watanobe 2008","","","Uchida & Wilen 2002","Uchida & Wilen 2002","Uchida & Wilen 2002","Uchida & Watanobe 2008","Uchida & Watanobe 2008","Uchida & Wilen 2002","Uchida & Watanobe 2008","Uchida & Watanobe 2008","Uchida & Watanobe 2008","Uchida & Watanobe 2008","Uchida personal communication","Uchida personal communication","","Uchida & Wilen 2008","","","","","","","Uchida personal communication","Uchida & Wilen 2008",NA,"","","Uchida & Wilen 2008","Uchida & Wilen 2008; 3-5 fishers per vessel, unclear how many vessels fish at a time","As of 2007. Uchida 2009, OECD workshop presentation","","","","","","","as of 2006. Uchida & Watanobe 2008","3-5 fishers per vessel, but unclear how many vessels fish at a time","","Uchida & Watanobe 2008","Uchida & Wilen 2008","","","","","Uchida & Watanobe 2008",NA,"","","Uchida & Wilen 2004","","","","Uchida & Watanobe 2008","","","","Uchida & Watanobe 2008",""
NA,NA,NA,"","","","","","Baticados et al. 1998","Baticados et al. 1998. See http://fishbase.org/Summary/speciesSummary.php?ID=556&genusname=Encrasicholina&speciesname=heteroloba&AT=Stolephorus+heterolobus&lang=English for information","Encrasicholina
http://books.google.com/books?hl=en&lr=&id=xhGxFHPo95EC&oi=fnd&pg=PR5&dq=sardine+philippines&ots=l7gng3-Jcb&sig=HAKte42Rp32lLHAYRO1hq5MWuoU#v=onepage&q=sardine%20philippines&f=false","","","depth 20-30m 
http://fishbase.org/Summary/speciesSummary.php?ID=556&genusname=Encrasicholina&speciesname=heteroloba&AT=Stolephorus+heterolobus&lang=English","depth 20-30m 
http://fishbase.org/Summary/speciesSummary.php?ID=556&genusname=Encrasicholina&speciesname=heteroloba&AT=Stolephorus+heterolobus&lang=English","","http://www.fishbase.org/Summary/speciesSummary.php?ID=556&genusname=Encrasicholina&speciesname=heteroloba&AT=Stolephorus+heterolobus&lang=English","Palumbi et al 2009","http://fishbase.org/Summary/speciesSummary.php?ID=556&genusname=Encrasicholina&speciesname=heteroloba&AT=Stolephorus+heterolobus&lang=English","http://fishbase.org/Summary/speciesSummary.php?ID=556&genusname=Encrasicholina&speciesname=heteroloba&AT=Stolephorus+heterolobus&lang=English","","","","","","","","Wright 1992","","http://fishbase.org/Summary/speciesSummary.php?ID=556&genusname=Encrasicholina&speciesname=heteroloba&AT=Stolephorus+heterolobus&lang=English",NA,"","","","http://www.fao.org/fishery/countrysector/FI-CP_PH/en","","","","","","","","",NA,"","","","","","","","Baticados 2004","Baticados et al. 1998","3km zone exclusively for co-op","Baticados et al. 1998","Alcala & Russ 2006","","Alcala & Russ 2006","Alcala & Russ 2006","Alcala & Russ 2006","Bans on dynamite and cyanide fishing. Baticados 2004","","Alcala & Russ 2006","http://fishbase.org/Summary/speciesSummary.php?ID=556&genusname=Encrasicholina&speciesname=heteroloba&AT=Stolephorus+heterolobus&lang=English","","","","","Baticados et al. 1998","Island of Olotayan, Baticados t al. 1998","Baticados et al. 1998","","","","","","","","","","","","","","","","","","Baticados 2004","Baticados 2004. Prevention of dynamite/cynide fishing","","","","","","","","",NA,"","Baticados 2004","","Baticados 2004","","","","","","","","","Baticados 2004, as of 1998","","Baticados 2004","Baticados 2004","Baticados 2004","Baticados 2004","","","",NA,"","","Baticados 2004, exclusive 3km boundary","Baticados 2004","","Baticados 2004","Baticados 2004","","","","Baticados 2004",""
NA,NA,NA,"","","","","","Baticados et al. 1998","Baticados et al. 1998. See
http://fishbase.org/Summary/SpeciesSummary.php?ID=146&AT=bigeye+tuna","","","","Schafer & Fuller 2002","http://fishbase.org/Ecology/FishEcologySummary.php?StockCode=160&GenusName=Thunnus&SpeciesName=obesus","","Tm=3, K=.11-.23
http://fishbase.org/Summary/SpeciesSummary.php?ID=146&AT=bigeye+tuna","Hampton et al. 2006","http://www.nmfs.noaa.gov/fishwatch/species/pac_bigeye_tuna.htm","http://www.wpcouncil.org/pelagic/Documents/FMP/WPRFMC%20Pelagic%20Amendment%2014.pdf","http://www.nmfs.noaa.gov/fishwatch/species/pac_bigeye_tuna.htm","","","Hampton et al. 2006","","","","http://www.nmfs.noaa.gov/fishwatch/species/pac_bigeye_tuna.htm","","Known to aggregate and stay around floating fish aggregation devices, i.e. moorings, flotsam, etc. Schaefer & Fuller 2002",NA,"","","","http://www.fao.org/fishery/countrysector/FI-CP_PH/en","","","","","","","","",NA,"","","","","","","","Baticados 2005","Baticados et al. 1999","3km zone exclusively for co-op","Baticados et al. 1999","Alcala & Russ 2006","","Alcala & Russ 2006","Alcala & Russ 2006","Alcala & Russ 2006","Bans on dynamite and cyanide fishing. Baticados 2005","","Alcala & Russ 2007","http://fishbase.org/Summary/SpeciesSummary.php?ID=146&AT=bigeye+tuna","","Baticados et al. 1998","","","Baticados et al. 1998","Island of Olotayan, Baticados t al. 1999","Baticados et al. 1999","","","","","","","","","","","","","","","","","","Baticados 2005","Baticados 2004. Prevention of dynamite/cynide fishing","","","","","","","","",NA,"","Baticados 2004","","Baticados 2004","","","","","","","","","Baticados 2004, as of 1999","","Baticados 2004","Baticados 2004","Baticados 2004","Baticados 2004","","","",NA,"","","Baticados 2004, exclusive 3km boundary","Baticados 2004","","Baticados 2004","Baticados 2004","","","","Baticados 2004",""
NA,NA,NA,"","","","","","","","","","","Sainsbury 1982","","http://fs.fish.govt.nz/Page.aspx?pk=113&dk=5565","Average K=.211. McShane 1995","http://fs.fish.govt.nz/Page.aspx?pk=113&dk=5565","http://fs.fish.govt.nz/Page.aspx?pk=113&dk=5565","http://fs.fish.govt.nz/Page.aspx?pk=113&dk=5565","","","","For the majority of the NZ management regions. http://fs.fish.govt.nz/Page.aspx?pk=113&dk=5565","http://fs.fish.govt.nz/Page.aspx?pk=113&dk=5565","","","http://fs.fish.govt.nz/Page.aspx?pk=113&dk=5565","Moss & Tong 1992","Sainsbury 1982",NA,"","","","2009
Total Sea Food Export Value
http://www.fish.govt.nz/en-nz/Fisheries+at+a+glance/default.htm?wbc_purpose=Basic&WBCMODE=PresentationU

","","","","","","","","",NA,"","","","New Zealand paua part of QMS","","","","","","","","http://www.paua.org.nz/industry.htm","","","J. Cooper 2009 pers. Com.","","J. Cooper 2009 pers. Com.","","","2008. http://fs.fish.govt.nz/Page.aspx?pk=7&tk=68&ey=2008","","J. Cooper pers com.","J. Cooper pers com. 2009","Peak fishing season observed in Nov. http://fs.fish.govt.nz/Page.aspx?pk=7&tk=100&ey=2006","all along new zealand coast","","","http://www.paua.org.nz/paua.htm","","","","","http://www.paua.org.nz/paua.htm","http://www.paua.org.nz/paua.htm","","Cooper pers comm","Cooper pers comm","http://www.paua.org.nz/fisheriesmgmttools.htm","Cooper personal communication","","Cooper personal communication","","Cooper personal communication","","J. Cooper 2009 pers com","http://www.paua.org.nz/fisheriesmgmttools.htm","Cooper personal communication","Cooper personal communication","Cooper personal communication","Cooper personal communication","Cooper personal communication","Cooper personal communication","http://www.paua.org.nz/fisheriesmgmttools.htm","http://www.paua.org.nz/fisheriesmgmttools.htm",NA,"","","","","http://www.paua.org.nz/fisheriesmgmttools.htm","","","","","http://fs.fish.govt.nz/Page.aspx?pk=7&tk=100&ey=2010","","","","","Not all paua quota holders are members of PIC. J Cooper 2009 pers comm","","","","","","J. Cooper 2009 pers comm.",NA,"","","J. Cooper 2009 pers comm.","Cooper personal communication","","","Provides stock assessments, TAC, etc. http://fs.fish.govt.nz/Page.aspx?pk=113&dk=5565","","","","",""
